productID,description,category,unitprice,country
1,Wireless Bluetooth Headphones,Electronics,49.99,USA
2,Noise Cancelling Earbuds,Electronics,59.99,Canada
3,Ceramic Coffee Mug,Kitchenware,9.99,UK
4,Stainless Steel Water Bottle,Fitness,19.99,Australia
5,Fitness Tracker Watch,Wearables,99.99,Germany
6,Organic Green Tea Pack,Grocery,14.99,USA
7,Portable Bluetooth Speaker,Electronics,39.99,USA
8,Yoga Mat with Carry Strap,Fitness,29.99,India
9,LED Desk Lamp with USB Charging,Home Decor,24.99,UK
10,Reusable Eco-Friendly Grocery Bags,Grocery,12.49,Canada
